id,season,match_no,date,player_name,comment,R,B,M,fours,sixs,SR
11,2011/12,22nd,Feb 22 2012,Shivnarine Chanderpaul,retired hurt ,33,28,-,3,0,117.85
9,2011/12,24th,Feb 24 2012,Shahzaib Hasan,c Sohail Tanvir b Noor Hossain,54,46,69,7,0,117.39
8,2011/12,25th,Feb 25 2012,Brad Hodge,run out (Mashrafe Mortaza),23,16,22,4,0,143.75
7,2011/12,26th,Feb 25 2012,Tom Maynard,c Roy b Cooper,7,9,9,1,0,77.77
6,2011/12,27th,Feb 26 2012,Niall O'Brien,c Mohammad Sami b Ervine,35,39,65,2,0,89.74
13,2011/12,20th,Feb 20 2012,Herschelle Gibbs,c Arafat Sunny b Cooper,20,15,-,4,0,133.33
12,2011/12,21st,Feb 22 2012,Imrul Kayes,c Pollard b Azhar Mahmood,14,19,-,2,0,73.68
10,2011/12,23rd,Feb 24 2012,Nasir Jamshed,c Naved-ul-Hasan b Mashrafe Mortaza,0,2,1,0,0,0.00
11,2011/12,22nd,Feb 22 2012,Herschelle Gibbs,c Farhad Hossain b Ali,18,8,-,4,0,225.00
9,2011/12,24th,Feb 24 2012,Junaid Siddique, b Sohail Tanvir,0,1,3,0,0,0.00
8,2011/12,25th,Feb 25 2012,Ahmed Shehzad, b Elias Sunny,51,39,57,7,0,130.76
7,2011/12,26th,Feb 25 2012,Scott Styris,c Ziaur Rahman b Farhad Reza,29,20,25,2,1,145.00
6,2011/12,27th,Feb 26 2012,Dwayne Smith,c Mohammad Sami b Samuels,18,12,17,1,2,150.00
13,2011/12,20th,Feb 20 2012,Dwayne Smith, b Enamul Haque jnr,17,18,-,1,1,94.44
12,2011/12,21st,Feb 22 2012,Sohail Tanvir,c & b Azhar Mahmood,1,4,-,0,0,25.00
10,2011/12,23rd,Feb 24 2012,Jahurul Islam,c Kervezee b Pollard,40,35,50,3,0,114.28
11,2011/12,22nd,Feb 22 2012,Dwayne Smith,run out (Farhad Hossain),0,0,-,0,0,-
5,2011/12,28th,Feb 26 2012,Jason Roy,c & b Nazmul Islam,42,25,38,6,1,168.00
